datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2017 5:00,1/1/2017 0:00,SERC,SOUTH,DOM,DOM,10069.639,TRUE
1/1/2017 6:00,1/1/2017 1:00,SERC,SOUTH,DOM,DOM,9815.292,TRUE
1/1/2017 7:00,1/1/2017 2:00,SERC,SOUTH,DOM,DOM,9612.893,TRUE
1/1/2017 8:00,1/1/2017 3:00,SERC,SOUTH,DOM,DOM,9524.088,TRUE
1/1/2017 9:00,1/1/2017 4:00,SERC,SOUTH,DOM,DOM,9575.519,TRUE
1/1/2017 10:00,1/1/2017 5:00,SERC,SOUTH,DOM,DOM,9728.428,TRUE
1/1/2017 11:00,1/1/2017 6:00,SERC,SOUTH,DOM,DOM,9990.636,TRUE
1/1/2017 12:00,1/1/2017 7:00,SERC,SOUTH,DOM,DOM,10296.434,TRUE
1/1/2017 13:00,1/1/2017 8:00,SERC,SOUTH,DOM,DOM,10564.464,TRUE
1/1/2017 14:00,1/1/2017 9:00,SERC,SOUTH,DOM,DOM,10671.187,TRUE
1/1/2017 15:00,1/1/2017 10:00,SERC,SOUTH,DOM,DOM,10426.355,TRUE
1/1/2017 16:00,1/1/2017 11:00,SERC,SOUTH,DOM,DOM,10084.869,TRUE
1/1/2017 17:00,1/1/2017 12:00,SERC,SOUTH,DOM,DOM,9803.654,TRUE
1/1/2017 18:00,1/1/2017 13:00,SERC,SOUTH,DOM,DOM,9628.759,TRUE
1/1/2017 19:00,1/1/2017 14:00,SERC,SOUTH,DOM,DOM,9481.936,TRUE
1/1/2017 20:00,1/1/2017 15:00,SERC,SOUTH,DOM,DOM,9442.76,TRUE
1/1/2017 21:00,1/1/2017 16:00,SERC,SOUTH,DOM,DOM,9865.397,TRUE
1/1/2017 22:00,1/1/2017 17:00,SERC,SOUTH,DOM,DOM,10870.602,TRUE
1/1/2017 23:00,1/1/2017 18:00,SERC,SOUTH,DOM,DOM,11133.223,TRUE
1/2/2017 0:00,1/1/2017 19:00,SERC,SOUTH,DOM,DOM,11074.927,TRUE
1/2/2017 1:00,1/1/2017 20:00,SERC,SOUTH,DOM,DOM,10933.476,TRUE
1/2/2017 2:00,1/1/2017 21:00,SERC,SOUTH,DOM,DOM,10537.247,TRUE
1/2/2017 3:00,1/1/2017 22:00,SERC,SOUTH,DOM,DOM,10057.316,TRUE
1/2/2017 4:00,1/1/2017 23:00,SERC,SOUTH,DOM,DOM,9500.731,TRUE
1/2/2017 5:00,1/2/2017 0:00,SERC,SOUTH,DOM,DOM,9045.205,TRUE
1/2/2017 6:00,1/2/2017 1:00,SERC,SOUTH,DOM,DOM,8878.118,TRUE
1/2/2017 7:00,1/2/2017 2:00,SERC,SOUTH,DOM,DOM,8808.183,TRUE
1/2/2017 8:00,1/2/2017 3:00,SERC,SOUTH,DOM,DOM,8866.032,TRUE
1/2/2017 9:00,1/2/2017 4:00,SERC,SOUTH,DOM,DOM,9099.472,TRUE
1/2/2017 10:00,1/2/2017 5:00,SERC,SOUTH,DOM,DOM,9518.488,TRUE
1/2/2017 11:00,1/2/2017 6:00,SERC,SOUTH,DOM,DOM,10068.149,TRUE
1/2/2017 12:00,1/2/2017 7:00,SERC,SOUTH,DOM,DOM,10447.106,TRUE
1/2/2017 13:00,1/2/2017 8:00,SERC,SOUTH,DOM,DOM,10674.283,TRUE
1/2/2017 14:00,1/2/2017 9:00,SERC,SOUTH,DOM,DOM,11142.739,TRUE
1/2/2017 15:00,1/2/2017 10:00,SERC,SOUTH,DOM,DOM,11455.898,TRUE
1/2/2017 16:00,1/2/2017 11:00,SERC,SOUTH,DOM,DOM,11532.57,TRUE
1/2/2017 17:00,1/2/2017 12:00,SERC,SOUTH,DOM,DOM,11480.486,TRUE
1/2/2017 18:00,1/2/2017 13:00,SERC,SOUTH,DOM,DOM,11368.699,TRUE
1/2/2017 19:00,1/2/2017 14:00,SERC,SOUTH,DOM,DOM,11318.854,TRUE
1/2/2017 20:00,1/2/2017 15:00,SERC,SOUTH,DOM,DOM,11371.409,TRUE
1/2/2017 21:00,1/2/2017 16:00,SERC,SOUTH,DOM,DOM,11722.575,TRUE
1/2/2017 22:00,1/2/2017 17:00,SERC,SOUTH,DOM,DOM,12448.333,TRUE
1/2/2017 23:00,1/2/2017 18:00,SERC,SOUTH,DOM,DOM,12357.457,TRUE
1/3/2017 0:00,1/2/2017 19:00,SERC,SOUTH,DOM,DOM,12191.075,TRUE
1/3/2017 1:00,1/2/2017 20:00,SERC,SOUTH,DOM,DOM,11739.136,TRUE
1/3/2017 2:00,1/2/2017 21:00,SERC,SOUTH,DOM,DOM,11267.111,TRUE
1/3/2017 3:00,1/2/2017 22:00,SERC,SOUTH,DOM,DOM,10477.252,TRUE
1/3/2017 4:00,1/2/2017 23:00,SERC,SOUTH,DOM,DOM,9778.401,TRUE
1/3/2017 5:00,1/3/2017 0:00,SERC,SOUTH,DOM,DOM,9348.901,TRUE
1/3/2017 6:00,1/3/2017 1:00,SERC,SOUTH,DOM,DOM,9106.557,TRUE
1/3/2017 7:00,1/3/2017 2:00,SERC,SOUTH,DOM,DOM,9063.053,TRUE
1/3/2017 8:00,1/3/2017 3:00,SERC,SOUTH,DOM,DOM,9158.936,TRUE
1/3/2017 9:00,1/3/2017 4:00,SERC,SOUTH,DOM,DOM,9508.906,TRUE
1/3/2017 10:00,1/3/2017 5:00,SERC,SOUTH,DOM,DOM,10312.097,TRUE
1/3/2017 11:00,1/3/2017 6:00,SERC,SOUTH,DOM,DOM,11547.701,TRUE
1/3/2017 12:00,1/3/2017 7:00,SERC,SOUTH,DOM,DOM,12156.662,TRUE
1/3/2017 13:00,1/3/2017 8:00,SERC,SOUTH,DOM,DOM,12100.904,TRUE
1/3/2017 14:00,1/3/2017 9:00,SERC,SOUTH,DOM,DOM,11921.838,TRUE
1/3/2017 15:00,1/3/2017 10:00,SERC,SOUTH,DOM,DOM,11851.582,TRUE
1/3/2017 16:00,1/3/2017 11:00,SERC,SOUTH,DOM,DOM,11775.882,TRUE
1/3/2017 17:00,1/3/2017 12:00,SERC,SOUTH,DOM,DOM,11599.205,TRUE
1/3/2017 18:00,1/3/2017 13:00,SERC,SOUTH,DOM,DOM,11428.139,TRUE
1/3/2017 19:00,1/3/2017 14:00,SERC,SOUTH,DOM,DOM,11288.905,TRUE
1/3/2017 20:00,1/3/2017 15:00,SERC,SOUTH,DOM,DOM,11343.453,TRUE
1/3/2017 21:00,1/3/2017 16:00,SERC,SOUTH,DOM,DOM,11741.128,TRUE
1/3/2017 22:00,1/3/2017 17:00,SERC,SOUTH,DOM,DOM,12428.106,TRUE
1/3/2017 23:00,1/3/2017 18:00,SERC,SOUTH,DOM,DOM,12517.108,TRUE
1/4/2017 0:00,1/3/2017 19:00,SERC,SOUTH,DOM,DOM,12212.254,TRUE
1/4/2017 1:00,1/3/2017 20:00,SERC,SOUTH,DOM,DOM,11851.412,TRUE
1/4/2017 2:00,1/3/2017 21:00,SERC,SOUTH,DOM,DOM,11199.724,TRUE
1/4/2017 3:00,1/3/2017 22:00,SERC,SOUTH,DOM,DOM,10327.694,TRUE
1/4/2017 4:00,1/3/2017 23:00,SERC,SOUTH,DOM,DOM,9555.107,TRUE
1/4/2017 5:00,1/4/2017 0:00,SERC,SOUTH,DOM,DOM,9039.322,TRUE
1/4/2017 6:00,1/4/2017 1:00,SERC,SOUTH,DOM,DOM,8768.883,TRUE
1/4/2017 7:00,1/4/2017 2:00,SERC,SOUTH,DOM,DOM,8653.469,TRUE
1/4/2017 8:00,1/4/2017 3:00,SERC,SOUTH,DOM,DOM,8655.73,TRUE
1/4/2017 9:00,1/4/2017 4:00,SERC,SOUTH,DOM,DOM,8960.234,TRUE
1/4/2017 10:00,1/4/2017 5:00,SERC,SOUTH,DOM,DOM,9760.871,TRUE
1/4/2017 11:00,1/4/2017 6:00,SERC,SOUTH,DOM,DOM,10865.25,TRUE
1/4/2017 12:00,1/4/2017 7:00,SERC,SOUTH,DOM,DOM,11403.239,TRUE
1/4/2017 13:00,1/4/2017 8:00,SERC,SOUTH,DOM,DOM,11179.017,TRUE
1/4/2017 14:00,1/4/2017 9:00,SERC,SOUTH,DOM,DOM,11021.318,TRUE
1/4/2017 15:00,1/4/2017 10:00,SERC,SOUTH,DOM,DOM,10860.06,TRUE
1/4/2017 16:00,1/4/2017 11:00,SERC,SOUTH,DOM,DOM,10557.328,TRUE
1/4/2017 17:00,1/4/2017 12:00,SERC,SOUTH,DOM,DOM,10336.957,TRUE
1/4/2017 18:00,1/4/2017 13:00,SERC,SOUTH,DOM,DOM,10169.074,TRUE
1/4/2017 19:00,1/4/2017 14:00,SERC,SOUTH,DOM,DOM,10027.334,TRUE
1/4/2017 20:00,1/4/2017 15:00,SERC,SOUTH,DOM,DOM,10155.528,TRUE
1/4/2017 21:00,1/4/2017 16:00,SERC,SOUTH,DOM,DOM,10562.184,TRUE
1/4/2017 22:00,1/4/2017 17:00,SERC,SOUTH,DOM,DOM,11745.22,TRUE
1/4/2017 23:00,1/4/2017 18:00,SERC,SOUTH,DOM,DOM,12351.123,TRUE
1/5/2017 0:00,1/4/2017 19:00,SERC,SOUTH,DOM,DOM,12400.073,TRUE
1/5/2017 1:00,1/4/2017 20:00,SERC,SOUTH,DOM,DOM,12269.954,TRUE
1/5/2017 2:00,1/4/2017 21:00,SERC,SOUTH,DOM,DOM,11893.557,TRUE
1/5/2017 3:00,1/4/2017 22:00,SERC,SOUTH,DOM,DOM,11315.232,TRUE
1/5/2017 4:00,1/4/2017 23:00,SERC,SOUTH,DOM,DOM,10842.212,TRUE
1/5/2017 5:00,1/5/2017 0:00,SERC,SOUTH,DOM,DOM,10657.915,TRUE
1/5/2017 6:00,1/5/2017 1:00,SERC,SOUTH,DOM,DOM,10628.911,TRUE
1/5/2017 7:00,1/5/2017 2:00,SERC,SOUTH,DOM,DOM,10725.769,TRUE
1/5/2017 8:00,1/5/2017 3:00,SERC,SOUTH,DOM,DOM,11114.439,TRUE
1/5/2017 9:00,1/5/2017 4:00,SERC,SOUTH,DOM,DOM,11704.756,TRUE
1/5/2017 10:00,1/5/2017 5:00,SERC,SOUTH,DOM,DOM,12624.004,TRUE
1/5/2017 11:00,1/5/2017 6:00,SERC,SOUTH,DOM,DOM,13886.41,TRUE
1/5/2017 12:00,1/5/2017 7:00,SERC,SOUTH,DOM,DOM,14384.447,TRUE
1/5/2017 13:00,1/5/2017 8:00,SERC,SOUTH,DOM,DOM,13936.27,TRUE
1/5/2017 14:00,1/5/2017 9:00,SERC,SOUTH,DOM,DOM,13477.008,TRUE
1/5/2017 15:00,1/5/2017 10:00,SERC,SOUTH,DOM,DOM,13234.812,TRUE
1/5/2017 16:00,1/5/2017 11:00,SERC,SOUTH,DOM,DOM,13058.316,TRUE
