"C","Real-Time Five-Minute System Load Report"
"C","Filename: rt_fiveminsysload_20190422.csv"
"C","Report for: 04/22/2019 - 04/22/2019"
"C","Report generated: 04/29/2019 16:59:28 EDT"
"H","Date/Time","Total Load","Native Load","Asset Related Load"
"H","Date/Time","MW","MW","MW"
"D","04/22/2019 00:00:00",9875.473,9333.673,541.8
"D","04/22/2019 00:05:00",9822.826,9288.026,534.8
"D","04/22/2019 00:10:00",9784.894,9249.894,535
"D","04/22/2019 00:15:00",9757.017,9222.317,534.7
"D","04/22/2019 00:20:00",9701.361,9164.361,537
"D","04/22/2019 00:25:00",9639.964,9104.264,535.7
"D","04/22/2019 00:30:00",9630.736,9095.536,535.2
"D","04/22/2019 00:35:00",9824.65,9034.95,789.7
"D","04/22/2019 00:40:00",9813.71,9016.71,797
"D","04/22/2019 00:45:00",9791.377,8997.477,793.9
"D","04/22/2019 00:50:00",9740.18,8945.08,795.1
"D","04/22/2019 00:55:00",9707.813,8911.113,796.7
"D","04/22/2019 01:00:00",9667.574,8873.774,793.8
"D","04/22/2019 01:05:00",9643.827,8851.127,792.7
"D","04/22/2019 01:10:00",9632.773,8840.673,792.1
"D","04/22/2019 01:15:00",9603.21,8810.11,793.1
"D","04/22/2019 01:20:00",9563.587,8768.287,795.3
"D","04/22/2019 01:25:00",9598.231,8804.131,794.1
"D","04/22/2019 01:30:00",9587.623,8763.823,823.8
"D","04/22/2019 01:35:00",9794.791,8718.691,1076.1
"D","04/22/2019 01:40:00",9792.258,8715.658,1076.6
"D","04/22/2019 01:45:00",9775.272,8698.972,1076.3
"D","04/22/2019 01:50:00",9768.392,8693.492,1074.9
"D","04/22/2019 01:55:00",9762.057,8683.657,1078.4
"D","04/22/2019 02:00:00",9764.665,8690.265,1074.4
"D","04/22/2019 02:05:00",9745.482,8668.682,1076.8
"D","04/22/2019 02:10:00",9729.64,8655.74,1073.9
"D","04/22/2019 02:15:00",9707.361,8632.661,1074.7
"D","04/22/2019 02:20:00",9689.975,8617.275,1072.7
"D","04/22/2019 02:25:00",9683.032,8611.232,1071.8
"D","04/22/2019 02:30:00",9657.811,8585.011,1072.8
"D","04/22/2019 02:35:00",9647.851,8577.651,1070.2
"D","04/22/2019 02:40:00",9665.299,8593.399,1071.9
"D","04/22/2019 02:45:00",9651.334,8579.234,1072.1
"D","04/22/2019 02:50:00",9644.853,8575.253,1069.6
"D","04/22/2019 02:55:00",9649.97,8579.87,1070.1
"D","04/22/2019 03:00:00",9666.8,8596,1070.8
"D","04/22/2019 03:05:00",9670.255,8600.755,1069.5
"D","04/22/2019 03:10:00",9673.549,8608.249,1065.3
"D","04/22/2019 03:15:00",9670.087,8603.187,1066.9
"D","04/22/2019 03:20:00",9661.676,8598.176,1063.5
"D","04/22/2019 03:25:00",9663.764,8599.364,1064.4
"D","04/22/2019 03:30:00",9673.186,8611.686,1061.5
"D","04/22/2019 03:35:00",9702.566,8639.566,1063
"D","04/22/2019 03:40:00",9689.915,8630.415,1059.5
"D","04/22/2019 03:45:00",9697.44,8637.84,1059.6
"D","04/22/2019 03:50:00",9706.97,8648.47,1058.5
"D","04/22/2019 03:55:00",9443.431,8659.131,784.3
"D","04/22/2019 04:00:00",9462.114,8679.614,782.5
"D","04/22/2019 04:05:00",9531.14,8750.84,780.3
"D","04/22/2019 04:10:00",9562.849,8780.849,782
"D","04/22/2019 04:15:00",9601.411,8819.311,782.1
"D","04/22/2019 04:20:00",9620.116,8839.116,781
"D","04/22/2019 04:25:00",9659.396,8880.696,778.7
"D","04/22/2019 04:30:00",9693.188,8915.888,777.3
"D","04/22/2019 04:35:00",9728.862,8950.262,778.6
"D","04/22/2019 04:40:00",9790.116,9010.016,780.1
"D","04/22/2019 04:45:00",9808.424,9030.424,778
"D","04/22/2019 04:50:00",9875.868,9098.168,777.7
"D","04/22/2019 04:55:00",9936.186,9159.286,776.9
"D","04/22/2019 05:00:00",9760.699,9252.699,508
"D","04/22/2019 05:05:00",9906.537,9397.737,508.8
"D","04/22/2019 05:10:00",9985.628,9477.528,508.1
"D","04/22/2019 05:15:00",10102.214,9594.714,507.5
"D","04/22/2019 05:20:00",10150.035,9643.935,506.1
"D","04/22/2019 05:25:00",10268.179,9759.779,508.4
"D","04/22/2019 05:30:00",10360.108,9854.908,505.2
"D","04/22/2019 05:35:00",10468.378,9961.378,507
"D","04/22/2019 05:40:00",10574.978,10068.278,506.7
"D","04/22/2019 05:45:00",10694.828,10188.528,506.3
"D","04/22/2019 05:50:00",10769.559,10261.259,508.3
"D","04/22/2019 05:55:00",10866.831,10360.031,506.8
"D","04/22/2019 06:00:00",10813.918,10561.618,252.3
"D","04/22/2019 06:05:00",11007.544,10756.844,250.7
"D","04/22/2019 06:10:00",11192.551,10941.851,250.7
"D","04/22/2019 06:15:00",11297.26,11048.06,249.2
"D","04/22/2019 06:20:00",11140.64,11140.64,0
"D","04/22/2019 06:25:00",11234.566,11234.566,0
"D","04/22/2019 06:30:00",11351.745,11351.745,0
"D","04/22/2019 06:35:00",11449.9,11449.9,0
"D","04/22/2019 06:40:00",11518.915,11518.915,0
"D","04/22/2019 06:45:00",11617.102,11617.102,0
"D","04/22/2019 06:50:00",11663.293,11663.293,0
"D","04/22/2019 06:55:00",11751.291,11751.291,0
"D","04/22/2019 07:00:00",11860.696,11860.696,0
"D","04/22/2019 07:05:00",11989.273,11989.273,0
"D","04/22/2019 07:10:00",12063.567,12063.567,0
"D","04/22/2019 07:15:00",12106.387,12106.387,0
"D","04/22/2019 07:20:00",12127.178,12127.178,0
"D","04/22/2019 07:25:00",12200.666,12200.666,0
"D","04/22/2019 07:30:00",12243.632,12243.632,0
"D","04/22/2019 07:35:00",12228.687,12228.687,0
"D","04/22/2019 07:40:00",12242.826,12242.826,0
"D","04/22/2019 07:45:00",12247.129,12247.129,0
"D","04/22/2019 07:50:00",12267.556,12267.556,0
"D","04/22/2019 07:55:00",12335.039,12335.039,0
"D","04/22/2019 08:00:00",12291.69,12291.69,0
"D","04/22/2019 08:05:00",12319.961,12319.961,0
"D","04/22/2019 08:10:00",12362.709,12362.709,0
"D","04/22/2019 08:15:00",12338.514,12338.514,0
"D","04/22/2019 08:20:00",12311.275,12311.275,0
"D","04/22/2019 08:25:00",12343.035,12343.035,0
"D","04/22/2019 08:30:00",12290.096,12290.096,0
"D","04/22/2019 08:35:00",12295.503,12295.503,0
"D","04/22/2019 08:40:00",12279.985,12279.985,0
"D","04/22/2019 08:45:00",12251.246,12251.246,0
"D","04/22/2019 08:50:00",12256.648,12256.648,0
"D","04/22/2019 08:55:00",12279.437,12279.437,0
"D","04/22/2019 09:00:00",12298.18,12298.18,0
"D","04/22/2019 09:05:00",12264.987,12264.987,0
"D","04/22/2019 09:10:00",12256.689,12256.689,0
"D","04/22/2019 09:15:00",12220.654,12220.654,0
"D","04/22/2019 09:20:00",12239.209,12239.209,0
"D","04/22/2019 09:25:00",12197.467,12197.467,0
"D","04/22/2019 09:30:00",12160.674,12160.674,0
"D","04/22/2019 09:35:00",12197.039,12197.039,0
"D","04/22/2019 09:40:00",12197.38,12197.38,0
"D","04/22/2019 09:45:00",12190.801,12190.801,0
"D","04/22/2019 09:50:00",12175.412,12175.412,0
"D","04/22/2019 09:55:00",12207.179,12207.179,0
